2605.03959	no_bib	3	yes	bib,bibcmd	conversion_fatal	Error:malformed:ltx:XMTok	-
2605.03977	no_bib	3	yes	thebib,bibitem	conversion_fatal	Error:undefined:{ack}	-
2605.03978	no_bib	1	yes	bbl,bib,bibcmd	ok	-	-
2605.04028	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\published	-
2605.04086	no_bib	1	no		ok	-	-
2605.04167	no_bib	2	no		conversion_error	Error:expected:<variable>	-
2605.04248	no_bib	2	yes	bib,bibcmd,printbib	conversion_error	Error:unexpected:\lx@end@inline@math	-
2605.04275	no_html	3	yes	thebib,bibitem	conversion_fatal	Error:unexpected:^	-
2605.04328	no_html	0	auto_ignore	stub	ok	-	-
2605.04343	no_html	3	yes	bibcmd	conversion_fatal	Error:unexpected:\lxSVG@endscope	-
2605.04360	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:unexpected:\lx@end@inline@math	-
2605.04377	no_bib	3	yes	bib,bibcmd	conversion_fatal	Fatal:Timeout:TokenLimit	-
2605.04395	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\hobbyinit	-
2605.04442	no_html	3	yes	thebib,bibitem	conversion_fatal	Fatal:Timeout:PushbackLimit	-
2605.04516	no_bib	2	yes	thebib,bibcmd,printbib,bibitem	conversion_error	Error:unexpected:\endgroup	-
2605.04530	no_bib	2	yes	bib,bibcmd	conversion_error	Fatal:Stomach:MemoryBudget	-
2605.04654	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:unexpected:\lxSVG@endscope	-
2605.04687	no_bib	2	yes	thebib,bibitem	conversion_error	Error:unexpected:\endgroup	-
2605.04691	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:unexpected:\else	-
2605.04710	no_bib	2	yes	bib,bibcmd	conversion_error	Error:unexpected:\lx@begin@alignment	-
2605.04756	no_html	3	yes	bibcmd,bibitem	conversion_fatal	Error:unexpected:\lx@begin@alignment	-
2605.04924	no_bib	2	yes	bbl,bib,bibcmd,printbib	conversion_error	Error:latex:\GenericError	-
2605.04961	no_bib	0	no		ok	-	-
2605.05181	no_html	3	yes	thebib,bibitem	conversion_fatal	Fatal:Timeout:IfLimit	-
2605.05254	no_bib	0	no		ok	-	-
2605.05315	no_bib	2	yes	bib,bibcmd	conversion_error	Error:unexpected:\lx@begin@alignment	-
2605.05437	no_bib	2	yes	bib,bibcmd	conversion_error	Error:unexpected:}	-
2605.05460	no_html	3	yes	bib,bibcmd	conversion_fatal	Fatal:Timeout:TokenLimit	-
2605.05479	no_bib	2	yes	bbl,bib,bibcmd	conversion_error	Error:unexpected:_	-
2605.05526	no_html	0	auto_ignore	stub	ok	-	-
2605.05558	no_html	3	yes	bib,bibcmd	conversion_fatal	Fatal:Timeout:TokenLimit	-
2605.05690	no_bib	2	yes	bib,bibcmd	conversion_error	Error:expected:\fi	-
2605.05698	no_bib	2	yes_legacy		conversion_error	Error:unexpected:\lx@begin@alignment	biblist,bibcs
2605.05760	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\varv	-
2605.05802	no_bib	0	no		ok	-	-
2605.05840	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\lstset	-
2605.05877	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\usephysicsmodule	-
2605.05900	no_html	3	yes	bib,thebib,bibcmd,bibitem	conversion_fatal	Error:undefined:\fontspec_if_language:nT	-
2605.05903	no_bib	2	yes	thebib,bibitem	conversion_error	Error:unexpected:\lx@begin@alignment	-
2605.05934	no_bib	3	yes	bbl,bibcmd	conversion_fatal	Error:unexpected:\lx@begin@alignment	-
2605.06045	no_html	0	auto_ignore	stub	ok	-	-
2605.06069	empty_bib	3	yes	bib,bibcmd	conversion_fatal	Error:unexpected:}	-
2605.06099	no_bib	2	yes	thebib,bibitem	conversion_error	Fatal:Stomach:Recursion	-
2605.06213	no_html	0	auto_ignore	stub	ok	-	-
2605.06384	no_html	3	yes	bbl,bibcmd	conversion_fatal	Error:unexpected:\label	-
2605.06488	no_bib	3	yes	bib,bibcmd	conversion_fatal	Error:malformed:ltx:XMTok	-
2605.06489	no_html	3	yes	bib,bibcmd,printbib	conversion_fatal	Fatal:Timeout:TokenLimit	-
2605.06542	no_bib	2	yes	bib,bibcmd	conversion_error	Fatal:Stomach:Recursion	-
2605.06546	no_result	-	yes	bib,bibcmd	-	-	-
2605.06548	no_html	3	yes	bbl,bib,bibcmd	conversion_fatal	Error:undefined:\lstnewenvironment	-
2605.06563	no_bib	2	yes	bib,printbib	conversion_error	Error:undefined:\DeclareSourcemap	-
2605.06655	no_html	3	yes	bib,printbib	conversion_fatal	Error:undefined:\DeclareDelimFormat	-
2605.06661	no_bib	2	yes	bbl,bibcmd	conversion_error	Error:post:convert	-
2605.06685	no_bib	2	no		conversion_error	Error:latex:(newunicodechar)	-
2605.06707	no_bib	0	no		ok	-	-
2605.06721	no_bib	0	no		ok	-	-
2605.06742	no_html	3	yes	bbl,bib	conversion_fatal	Error:unexpected:_	-
2605.06766	no_bib	2	yes	bib,printbib	conversion_error	Error:undefined:\alsoaffiliation	-
2605.06767	no_html	3	yes	bbl,bibcmd	conversion_fatal	Error:unexpected:\lx@end@inline@math	-
2605.06789	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:unexpected:}	-
2605.06812	empty_bib	2	yes	bib,bibcmd	conversion_error	Error:missing_file:	-
2605.06836	no_bib	2	no		conversion_error	Error:expected:<variable>	-
2605.06890	no_bib	1	no		ok	-	-
2605.07063	no_html	3	yes	bbl,bib,bibcmd	conversion_fatal	Fatal:Timeout:Recursion	-
2605.07102	empty_bib	1	yes	bib,bibcmd	ok	-	-
2605.07282	no_bib	1	no		ok	-	-
2605.07284	no_bib	1	no		ok	-	-
2605.07397	no_result	-	yes	bib,bibcmd	-	-	-
2605.07465	no_html	3	yes	bib,bibcmd	conversion_fatal	Fatal:Timeout:PushbackLimit	-
2605.07504	no_bib	2	yes	bbl,bib,bibcmd	conversion_error	Error:undefined:\setboolean	-
2605.07528	empty_bib	1	yes	bib,bibcmd	ok	-	-
2605.07596	no_bib	2	yes	bib,bibcmd	conversion_error	Error:unexpected:}	-
2605.07622	empty_bib	2	yes	bib,bibcmd	conversion_error	Error:undefined:\email	-
2605.07633	no_bib	2	yes	bbl,bib,bibcmd	conversion_error	Error:undefined:\newbool	-
2605.07714	no_bib	2	yes	bbl,bib,bibcmd,printbib	conversion_error	Error:expected:\fi	-
2605.07734	no_bib	2	yes	bbl,bibcmd	conversion_error	Error:unexpected:\end@amsalign	-
2605.07772	no_bib	3	yes	bib,bibcmd,printbib	conversion_fatal	Error:undefined:\usephysicsmodule	-
2605.07907	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\svgpath	-
2605.07942	empty_bib	2	yes	bbl	conversion_error	Error:undefined:\close@column@grid	-
2605.07967	no_bib	0	no		ok	-	-
2605.08036	no_html	3	yes	bib,printbib,bibitem	conversion_fatal	Fatal:Timeout:IfLimit	-
2605.08071	no_bib	1	no		ok	-	-
2605.08259	no_bib	1	no		ok	-	-
2605.08318	no_html	0	auto_ignore	stub	ok	-	-
2605.08349	no_html	3	yes	bib,bibcmd	conversion_fatal	Error:undefined:\citep	-
2605.08378	no_bib	2	yes	bbl,bib,printbib,bibitem	conversion_error	Error:undefined:\ConfigureBibliography	-
2605.08394	no_bib	2	yes	thebib,bibitem	conversion_error	Error:unexpected:\lx@begin@alignment	-
